Id,PID,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemod/Add,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SalePrice,HouseAge,TotalArea,QualMetric,TotalBaths,PorchArea,Neighborhood_Edwards,Neighborhood_IDOTRR,Neighborhood_NAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_Somerst,Neighborhood_StoneBr,MSSubClass_30,MSSubClass_50,MSSubClass_60,mansion,SalePriceLog
1044,527451290,160,RM,21.0,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,3.0,3,CBlock,3.0,3.0,1.0,5.0,387.0,1.0,0.0,96.0,483.0,GasA,3.0,1,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,3.0,4,Typ,0,Detchd,1971.0,1.0,1.0,264.0,3.0,3.0,Y,0,0,0,0,0,0,0,7,2008,COD,85400,48,1163.418561,11.049609,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,11.355101379776661
2752,906380150,20,RL,64.0,7488,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4.0,3,PConc,4.0,3.0,3.0,6.0,393.0,1.0,0.0,815.0,1208.0,GasA,5.0,1,SBrkr,1208,0,0,1208,0.0,0.0,2,0,2,1,4.0,6,Typ,0,Attchd,2005.0,2.0,2.0,632.0,3.0,3.0,Y,105,58,0,0,0,0,0,2,2006,WD ,183600,14,2012.733944,13.932604999999999,2.0,163,0,0,0,0,0,0,0,0,0,0,0,0,12.120514757168527
807,906226060,70,RL,120.0,26400,Pave,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,4.0,3,PConc,,,,,0.0,,0.0,0.0,0.0,GasA,5.0,1,SBrkr,1288,728,0,2016,0.0,0.0,1,0,4,1,3.0,7,Mod,1,Attchd,1900.0,1.0,2.0,576.0,3.0,3.0,P,0,0,0,0,0,0,0,6,2009,WD ,131000,139,1779.7841280000002,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.782952602183288
1177,533236070,160,FV,24.0,2645,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4.0,3,PConc,4.0,3.0,1.0,6.0,813.0,1.0,0.0,147.0,960.0,GasA,5.0,1,SBrkr,962,645,0,1607,1.0,0.0,2,1,3,1,4.0,7,Typ,0,Detchd,2000.0,1.0,2.0,480.0,3.0,3.0,Y,169,0,0,0,0,0,0,12,2008,ConLD,200000,20,2036.037666,14.732812,3.5,169,0,0,0,0,0,0,1,0,0,0,0,0,12.206072645530174
1480,907418040,20,RL,74.0,9627,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4.0,3,PConc,4.0,3.0,3.0,6.0,24.0,1.0,0.0,1327.0,1351.0,GasA,5.0,1,SBrkr,1361,0,0,1361,0.0,0.0,2,0,3,1,4.0,6,Typ,0,Attchd,2007.0,2.0,2.0,610.0,3.0,3.0,Y,0,50,0,0,0,0,0,6,2008,WD ,193000,12,2195.0110929999996,13.932604999999999,2.0,50,0,0,0,0,0,0,0,0,0,0,0,0,12.170445467887022
324,923202105,20,RL,93.0,10114,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3.0,3,PConc,5.0,3.0,3.0,1.0,0.0,1.0,0.0,1430.0,1430.0,GasA,5.0,1,SBrkr,1430,0,0,1430,0.0,0.0,2,0,3,1,4.0,7,Typ,0,Attchd,2004.0,2.0,2.0,624.0,3.0,3.0,Y,0,0,0,0,0,0,0,3,2010,WD ,173500,15,2301.89557,12.298352,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.063932878369052
1311,902301140,70,RM,34.0,4571,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3.0,3,BrkTil,3.0,3.0,1.0,1.0,0.0,1.0,0.0,624.0,624.0,GasA,2.0,0,SBrkr,624,720,0,1344,0.0,0.0,1,0,4,1,3.0,7,Typ,0,Detchd,1916.0,1.0,3.0,513.0,2.0,2.0,Y,0,0,96,0,0,0,0,5,2008,COD,98000,103,1662.856782,10.249402,1.0,96,0,0,0,0,0,1,0,0,0,0,0,0,11.49272275765271
770,905101490,20,RL,80.0,8816,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,3.0,3,PConc,3.0,3.0,1.0,3.0,651.0,1.0,0.0,470.0,1121.0,GasA,3.0,1,SBrkr,1121,0,0,1121,1.0,0.0,1,0,3,1,3.0,5,Typ,0,Detchd,1963.0,1.0,2.0,480.0,3.0,3.0,Y,0,80,0,0,0,0,0,6,2009,WD ,139000,56,1798.5341230000001,10.249402,2.0,80,0,0,0,0,0,0,0,0,0,0,0,0,11.842229212112828
2063,905107140,20,RL,71.0,8197,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,3.0,3,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,660.0,660.0,GasA,5.0,1,SBrkr,1285,0,0,1285,0.0,0.0,1,1,3,1,3.0,7,Typ,1,Attchd,1977.0,2.0,2.0,528.0,3.0,3.0,Y,138,0,0,0,0,0,0,4,2007,WD ,143500,42,1654.12689,11.049609,1.5,138,0,0,0,0,0,0,0,0,0,0,0,0,11.874090314181814
69,528458070,60,FV,72.0,8640,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,3.0,3,PConc,4.0,3.0,2.0,6.0,24.0,1.0,0.0,732.0,756.0,GasA,5.0,1,SBrkr,764,783,0,1547,0.0,0.0,2,1,3,1,4.0,7,Typ,0,Attchd,2009.0,1.0,2.0,614.0,3.0,3.0,Y,169,45,0,0,0,0,0,6,2010,Con,215200,10,1953.050866,13.220458999999998,2.5,214,0,0,0,0,0,0,1,0,0,0,1,0,12.279323107269766
2062,905106150,20,RL,109.0,8724,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,3.0,3,CBlock,4.0,3.0,1.0,4.0,492.0,1.0,0.0,402.0,894.0,GasA,4.0,1,SBrkr,894,0,0,894,0.0,0.0,1,0,3,1,3.0,5,Typ,1,Attchd,1968.0,3.0,2.0,450.0,3.0,3.0,Y,0,0,0,0,0,0,0,5,2007,WD ,129000,51,1478.032422,10.927709,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76756768334381
351,527131030,120,RL,40.0,5664,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,4.0,3,PConc,4.0,3.0,1.0,6.0,1158.0,1.0,0.0,343.0,1501.0,GasA,5.0,1,SBrkr,1659,0,0,1659,1.0,0.0,2,0,2,1,5.0,5,Typ,1,Attchd,2000.0,3.0,2.0,499.0,3.0,3.0,Y,212,59,0,0,0,0,0,10,2009,WD ,278000,19,2424.887197,15.425148,3.0,271,0,0,0,0,0,0,0,1,0,0,0,0,12.535376392672774
2393,528142010,60,RL,103.0,12867,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,,,4.0,3,PConc,5.0,3.0,3.0,1.0,0.0,1.0,0.0,1209.0,1209.0,GasA,5.0,1,SBrkr,1209,1044,0,2253,0.0,0.0,2,1,3,1,5.0,8,Typ,1,Attchd,2005.0,3.0,2.0,575.0,3.0,3.0,Y,243,142,0,0,0,0,0,7,2006,New,344133,14,2704.7021890000005,16.103455,2.5,385,0,0,0,0,1,0,0,0,0,0,1,0,12.748783489541202
12,527165230,20,RL,,7980,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3.0,4,PConc,4.0,3.0,1.0,5.0,935.0,1.0,0.0,233.0,1168.0,GasA,5.0,1,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,3.0,6,Typ,0,Attchd,1992.0,3.0,2.0,420.0,3.0,3.0,Y,483,21,0,0,0,0,500,3,2010,WD ,185000,27,1835.0819060000001,11.727916,3.0,504,0,0,0,0,0,0,0,0,0,0,0,0,12.128111104060462
2339,527250040,190,RL,100.0,34650,Pave,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3.0,3,CBlock,3.0,3.0,2.0,3.0,1056.0,1.0,0.0,0.0,1056.0,GasA,3.0,0,SBrkr,1056,0,0,1056,1.0,0.0,1,0,3,1,3.0,5,Typ,0,Attchd,1955.0,3.0,2.0,572.0,3.0,3.0,Y,264,0,0,0,0,0,0,1,2006,WD ,145000,64,1772.1713679999998,10.249402,2.0,264,0,0,0,0,0,0,0,0,0,0,0,0,11.884489021402711
624,535104120,20,RL,92.0,10573,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,3.0,3,CBlock,3.0,3.0,1.0,3.0,1312.0,1.0,0.0,141.0,1453.0,GasA,5.0,1,SBrkr,1453,0,0,1453,1.0,0.0,2,0,3,1,3.0,6,Typ,1,Attchd,1961.0,2.0,2.0,530.0,3.0,3.0,Y,0,49,0,0,288,0,0,4,2009,WD ,187500,58,2271.267339,11.049609,3.0,337,0,0,1,0,0,0,0,0,0,0,0,0,12.141534124392603
86,532376160,20,RL,65.0,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,3.0,4,CBlock,3.0,3.0,1.0,6.0,553.0,4.0,117.0,224.0,894.0,GasA,5.0,1,SBrkr,894,0,0,894,1.0,0.0,1,0,3,1,3.0,5,Typ,1,Detchd,1973.0,1.0,1.0,336.0,3.0,3.0,Y,416,144,0,0,0,0,0,4,2010,WD ,138500,54,1403.901642,10.249402,2.0,560,0,0,0,0,0,0,0,0,0,0,0,0,11.83862560460953
1534,909277040,50,RL,,11700,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,3.0,3,CBlock,3.0,3.0,1.0,4.0,606.0,1.0,0.0,336.0,942.0,GasA,5.0,1,SBrkr,1265,673,0,1938,0.0,0.0,2,0,4,1,4.0,7,Min2,1,Detchd,1937.0,1.0,1.0,240.0,3.0,3.0,Y,0,40,0,0,0,0,0,7,2008,WD ,198000,82,2099.371794,10.941737999999999,2.0,40,0,0,0,0,0,0,0,0,0,1,0,0,12.196022309676673
2243,911103060,190,C (all),75.0,8250,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,3.0,4,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,957.0,957.0,GasA,2.0,0,SBrkr,1034,957,0,1991,0.0,0.0,2,0,4,2,3.0,9,Typ,0,,,,0.0,0.0,,,N,0,0,133,0,0,0,0,6,2007,WD ,119600,124,1989.6838830000002,10.249402,2.0,133,0,1,0,0,0,0,0,0,0,0,0,0,11.691908120498669
1957,535450190,50,RL,60.0,8064,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,3.0,4,CBlock,3.0,3.0,2.0,1.0,0.0,1.0,0.0,672.0,672.0,GasA,5.0,1,SBrkr,672,252,0,924,0.0,0.0,1,0,3,1,3.0,6,Typ,1,Detchd,2003.0,1.0,2.0,576.0,3.0,3.0,Y,0,0,0,0,0,0,2000,7,2007,WD ,122900,70,1441.2562320000002,10.249402,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,11.719126295554126
380,527355150,20,RL,80.0,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,4.0,3,PConc,4.0,3.0,1.0,5.0,1104.0,1.0,0.0,1420.0,2524.0,GasA,3.0,1,SBrkr,2524,0,0,2524,1.0,0.0,2,1,4,1,4.0,9,Typ,1,Attchd,1981.0,3.0,2.0,542.0,3.0,3.0,Y,474,120,0,0,0,0,0,7,2009,WD ,278000,38,3699.1769520000003,14.732812,3.5,594,0,0,0,0,0,0,0,0,0,0,0,0,12.535376392672774
2860,909276010,70,RL,,11435,Pave,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,3.0,3,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,792.0,792.0,GasA,2.0,1,SBrkr,792,725,0,1517,0.0,0.0,1,0,3,1,4.0,7,Typ,2,Detchd,1931.0,1.0,2.0,400.0,3.0,3.0,Y,0,0,0,0,0,0,0,6,2006,WD ,230000,90,1815.623246,14.020665999999999,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.345834587905333
2517,533250130,120,RL,30.0,9549,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,4.0,4,PConc,4.0,4.0,3.0,2.0,437.0,6.0,1057.0,0.0,1494.0,GasA,5.0,1,SBrkr,1494,0,0,1494,1.0,0.0,1,1,2,1,5.0,6,Typ,1,Attchd,1995.0,3.0,2.0,481.0,3.0,3.0,Y,0,30,0,0,216,0,0,4,2006,WD ,270000,24,2293.768592,15.425148,2.5,246,0,0,0,0,0,0,0,0,0,0,0,0,12.506177237980511
1933,535302070,20,RL,60.0,10950,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3.0,3,CBlock,3.0,3.0,1.0,5.0,441.0,1.0,0.0,507.0,948.0,GasA,3.0,1,SBrkr,948,0,0,948,0.0,0.0,1,0,2,1,3.0,5,Typ,0,Detchd,1952.0,1.0,2.0,410.0,3.0,3.0,N,0,48,0,0,0,0,0,4,2007,WD ,125000,67,1523.623624,11.049609,1.0,48,0,0,1,0,0,0,0,0,0,0,0,0,11.736069016284437
820,906340110,20,RL,79.0,10637,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,4.0,3,PConc,5.0,3.0,4.0,6.0,1288.0,1.0,0.0,417.0,1705.0,GasA,5.0,1,SBrkr,1718,0,0,1718,1.0,0.0,2,0,3,1,4.0,7,Typ,1,Attchd,2007.0,2.0,3.0,826.0,3.0,3.0,Y,208,44,0,0,0,0,0,9,2009,WD ,297000,12,2806.951429,15.411119,3.0,252,0,0,0,0,0,0,0,0,0,0,0,0,12.601487417784837
675,535426150,20,RL,80.0,9000,Pave,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,3.0,3,CBlock,4.0,3.0,4.0,1.0,0.0,1.0,0.0,160.0,160.0,GasA,2.0,1,SBrkr,1142,0,0,1142,0.0,0.0,1,0,2,1,3.0,5,Typ,1,Basment,1958.0,2.0,1.0,384.0,3.0,3.0,Y,0,28,64,0,0,0,0,4,2009,WD ,113500,61,1146.3490760000002,11.727916,1.0,92,0,0,1,0,0,0,0,0,0,0,0,0,11.639558115903595
2910,923225240,160,RM,41.0,2665,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,3.0,3,PConc,3.0,3.0,1.0,5.0,548.0,3.0,173.0,36.0,757.0,GasA,5.0,1,SBrkr,925,550,0,1475,0.0,0.0,2,0,4,1,3.0,6,Typ,1,Attchd,1977.0,2.0,1.0,336.0,3.0,3.0,Y,104,26,0,0,0,0,0,7,2006,WD ,127000,42,1722.717995,10.249402,2.0,130,0,0,0,0,0,0,0,0,0,0,0,0,11.751942365440728
21,527358140,20,RL,105.0,11751,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,3.0,3,CBlock,4.0,3.0,1.0,4.0,705.0,1.0,0.0,1139.0,1844.0,GasA,5.0,1,SBrkr,1844,0,0,1844,0.0,0.0,2,0,3,1,3.0,7,Typ,1,Attchd,1977.0,2.0,2.0,546.0,3.0,3.0,Y,0,122,0,0,0,0,0,1,2010,COD,190000,42,2800.123192,11.727916,2.0,122,0,0,0,0,0,0,0,0,0,0,0,0,12.154779351142624
1873,534177210,20,RL,80.0,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,3.0,3,CBlock,3.0,3.0,1.0,5.0,916.0,1.0,0.0,326.0,1242.0,GasA,2.0,1,SBrkr,1242,0,0,1242,0.0,0.0,1,1,3,1,3.0,6,Typ,1,Attchd,1973.0,1.0,2.0,528.0,3.0,3.0,Y,0,0,0,0,0,0,0,9,2007,WD ,175500,46,1990.1886060000002,11.849816,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,12.075394321888057
